id	sppErrors.taxa	sppErrors.level	sppErrors.taxon	Taxa	taxon	diff	citation	corpus.genus	my.assignment	agreement.
S000387300	Thialkalimicrobium sibericum	SPECIES	Thioalkalimicrobium sibiricum	Thialkalimicrobium sibericum	Thioalkalimicrobium sibiricum	spelling		Thialkalimicrobium	Thioalkalimicrobium	1
S000388391	Actinomadura spadix	SPECIES	Actinoallomurus spadix	Actinomadura spadix	Actinoallomurus spadix	synonym	http://www.labmeeting.com/paper/29127952/tamura-2009-transfer-of-actinomadura-spadix-nonomura-and-ohara-1971-to-actinoallomurus-spadix-gen-nov-comb-nov-and-description-of-actinoallomurus-amamiensis-sp-nov-actinoallomurus-caesius-sp-nov-actin	Actinomadura	Actinoallomurus	NA
S000388482	Bacillus pycnus	SPECIES	Rummeliibacillus pycnus	Bacillus pycnus	Rummeliibacillus pycnus	synonym	http://ijs.sgmjournals.org.proxy.uchicago.edu/cgi/content/full/59/5/1094	Bacillus	Rummeliibacillus	NA
S000388556	Catelliglobosispora koreensis	SPECIES	Catellatospora koreensis	Catelliglobosispora koreensis	Catellatospora koreensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/58/8/1950	Catelliglobosispora	Catellatospora	NA
S000388584	Caldanaerobacter subterraneus	SPECIES	Carboxydibrachium pacificum	Caldanaerobacter subterraneus	Carboxydibrachium pacificum	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/54/2/467	Caldanaerobacter	Carboxydibrachium	NA
S000388715	Defluvicoccus vanus	SPECIES	Defluviicoccus vanus	Defluvicoccus vanus	Defluviicoccus vanus	spelling		Defluvicoccus	Defluviicoccus	1
S000388994	Methylobacterium extorquens	SPECIES	Methylobacterium chloromethanicum	Methylobacterium extorquens	Methylobacterium chloromethanicum	synonym	http://www.ncbi.nlm.nih.gov/pubmed/16314683	Methylobacterium	Methylobacterium	NA
S000389130	Caldanaerobacter subterraneus	SPECIES	Thermoanaerobacter tengcongensis	Caldanaerobacter subterraneus	Thermoanaerobacter tengcongensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/54/2/467	Caldanaerobacter	Thermoanaerobacter	NA
S000389225	Caldanaerobacter subterraneus	SPECIES	Thermoanaerobacter yonseiensis	Caldanaerobacter subterraneus	Thermoanaerobacter yonseiensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/54/2/467	Caldanaerobacter	Thermoanaerobacter	NA
S000391664	Simonsiella sp.	SPECIES	Conchiformibius kuhniae	Simonsiella sp.	Conchiformibius kuhniae	SPECIFICITY		Simonsiella	Conchiformibius	NA
S000392506	Yersinia pestis	SPECIES	Yersinia pseudotuberculosis	Yersinia pestis	Yersinia pseudotuberculosis	ambig/review		Yersinia	Yersinia	1
S000392553	Zymophilus paucivorans	SPECIES	Zymophilus raffinosivorans	Zymophilus paucivorans	Zymophilus raffinosivorans	synonym	http://ijs.sgmjournals.org/cgi/reprint/40/1/19	Zymophilus	Zymophilus	NA
S000394134	Paenibacillus hongkongensis	SPECIES	Cohnella hongkongensis	Paenibacillus hongkongensis	Cohnella hongkongensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/56/4/781	Paenibacillus	Cohnella	NA
S000395648	Actinoalloteichus cyanogriseus	SPECIES	Streptomyces laceyi	Actinoalloteichus cyanogriseus	Streptomyces laceyi	ambig/review		Actinoalloteichus	Streptomyces	NA
S000404896	Thermovibrio ammoniificans	SPECIES	Thermovibrio ammonificans	Thermovibrio ammoniificans	Thermovibrio ammonificans	spelling		Thermovibrio	Thermovibrio	1
S000413471	Rhizobium rhizogenes	SPECIES	Agrobacterium rhizogenes	Rhizobium rhizogenes	Agrobacterium rhizogenes	synonym	http://www.ncbi.nlm.nih.gov/pubmed/11211278	Rhizobium	Agrobacterium	NA
S000413535	Ensifer fredii	SPECIES	Sinorhizobium fredii	Ensifer fredii	Sinorhizobium fredii	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/6/2107	Ensifer	Sinorhizobium	NA
S000413975	Staphylococcus xylosus	SPECIES	Staphylococcus saprophyticus	Staphylococcus xylosus	Staphylococcus saprophyticus	ambig/review		Staphylococcus	Staphylococcus	1
S000414470	Prevotella heparinolytica	SPECIES	Bacteroides heparinolyticus	Prevotella heparinolytica	Bacteroides heparinolyticus	synonym	http://ijs.sgmjournals.org/cgi/reprint/51/5/1943	Prevotella	Bacteroides	NA
S000414471	Prevotella zoogleoformans	SPECIES	Bacteroides zoogleoformans	Prevotella zoogleoformans	Bacteroides zoogleoformans	synonym	http://ijs.sgmjournals.org/cgi/reprint/51/5/1943	Prevotella	Bacteroides	NA
S000414478	Tannerella forsythensis	SPECIES	Tannerella forsythia	Tannerella forsythensis	Tannerella forsythia	synonym	http://ijs.sgmjournals.org/cgi/content/full/58/8/1974	Tannerella	Tannerella	NA
S000415130	Jannaschia cystaugens	SPECIES	Thalassobacter stenotrophicus	Jannaschia cystaugens	Thalassobacter stenotrophicus	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/55/5/1959	Jannaschia	Thalassobacter	NA
S000416814	Clostridium sp.	SPECIES	Subdoligranulum variabile	Clostridium sp.	Subdoligranulum variabile	SPECIFICITY		Clostridium	Subdoligranulum	NA
S000416815	Mycobacterium psychrotolerans	SPECIES	Mycobacterium fortuitum	Mycobacterium psychrotolerans	Mycobacterium fortuitum	ambig/review		Mycobacterium	Mycobacterium	1
S000417331	Marinomonas sp.	SPECIES	Marinomonas polaris	Marinomonas sp.	Marinomonas polaris	SPECIFICITY		Marinomonas	Marinomonas	1
S000417333	Byssophaga cruenta	SPECIES	Byssovorax cruenta	Byssophaga cruenta	Byssovorax cruenta	synonym	http://ijs.sgmjournals.org/cgi/content/full/56/10/2357	Byssophaga	Byssovorax	NA
S000428013	Burkholderia vietnamiensis	SPECIES	Burkholderia ambifaria	Burkholderia vietnamiensis	Burkholderia ambifaria	ambig/review		Burkholderia	Burkholderia	1
S000428517	Acidovorax avenae	SPECIES	Acidovorax citrulli	Acidovorax avenae	Acidovorax citrulli	PATHOVAR		Acidovorax	Acidovorax	1
S000428518	Acidovorax avenae	SPECIES	Acidovorax cattleyae	Acidovorax avenae	Acidovorax cattleyae	PATHOVAR		Acidovorax	Acidovorax	1
S000428680	Streptococcus gallolyticus	SPECIES	Streptococcus macedonicus	Streptococcus gallolyticus	Streptococcus macedonicus	PATHOVAR		Streptococcus	Streptococcus	1
S000430606	Acinetobacter junii	SPECIES	Acinetobacter grimontii	Acinetobacter junii	Acinetobacter grimontii	synonym	http://www.labmeeting.com/paper/4099971/vaneechoutte-2008-reclassification-of-acinetobacter-grimontii-carr-et-al-2003-as-a-later-synonym-of-acinetobacter-junii-bouvet-and-grimont-1986	Acinetobacter	Acinetobacter	NA
S000434385	Methylobacterium rhodesianum	SPECIES	Methylobacterium lusitanum	Methylobacterium rhodesianum	Methylobacterium lusitanum	synonym	http://www.jstage.jst.go.jp/article/jgam/51/5/51_287/_article	Methylobacterium	Methylobacterium	NA
S000434588	Nocardiopsis sp.	SPECIES	Nocardiopsis exhalans	Nocardiopsis sp.	Nocardiopsis exhalans	SPECIFICITY		Nocardiopsis	Nocardiopsis	1
S000435483	Bacteroidetes bacterium	SPECIES	Polaribacter butkevichii	Bacteroidetes bacterium	Polaribacter butkevichii	ambig/review		Bacteroidetes	Polaribacter	NA
S000436036	Rhizobium radiobacter	SPECIES	Agrobacterium tumefaciens	Rhizobium radiobacter	Agrobacterium tumefaciens	synonym	http://www.ncbi.nlm.nih.gov/pubmed/11211278	Rhizobium	Agrobacterium	NA
S000436672	Haemophilus segnis	SPECIES	Aggregatibacter segnis	Haemophilus segnis	Aggregatibacter segnis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/56/9/2135	Haemophilus	Aggregatibacter	NA
S000437097	Moraxella (Branhamella)	SPECIES	Moraxella catarrhalis	Moraxella (Branhamella)	Moraxella catarrhalis	SPECIFICITY		Moraxella	Moraxella	1
S000437159	Thermoanerobacter brockii	SPECIES	Thermoanaerobacter brockii	Thermoanerobacter brockii	Thermoanaerobacter brockii	spelling		Thermoanerobacter	Thermoanaerobacter	1
S000437528	Butyrivibrio proteoclasticus	SPECIES	Clostridium proteoclasticum	Butyrivibrio proteoclasticus	Clostridium proteoclasticum	synonym	http://www.ncbi.nlm.nih.gov/pubmed/18768601	Butyrivibrio	Clostridium	NA
S000437566	Caldanaerobius polysaccharolyticus	SPECIES	Thermoanaerobacterium polysaccharolyticum	Caldanaerobius polysaccharolyticus	Thermoanaerobacterium polysaccharolyticum	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/58/3/666	Caldanaerobius	Thermoanaerobacterium	NA
S000438421	Caldanaerobius zeae	SPECIES	Thermoanaerobacterium zeae	Caldanaerobius zeae	Thermoanaerobacterium zeae	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/58/3/666	Caldanaerobius	Thermoanaerobacterium	NA
S000439318	Rhodocista centenaria	SPECIES	Rhodospirillum centenum	Rhodocista centenaria	Rhodospirillum centenum	spelling		Rhodocista	Rhodospirillum	NA
S000445670	Rhodanobacter fulva	SPECIES	Rhodanobacter fulvus	Rhodanobacter fulva	Rhodanobacter fulvus	spelling		Rhodanobacter	Rhodanobacter	1
S000460393	Mycobacterium bonickei	SPECIES	Mycobacterium boenickei	Mycobacterium bonickei	Mycobacterium boenickei	spelling		Mycobacterium	Mycobacterium	1
S000468990	Ensifer fredii	SPECIES	Sinorhizobium xinjiangense	Ensifer fredii	Sinorhizobium xinjiangense	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/6/2107	Ensifer	Sinorhizobium	NA
S000469274	Kitasatospora cochleata	SPECIES	Streptomyces cinereorectus	Kitasatospora cochleata	Streptomyces cinereorectus	synonym	http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B7GVX-4T5S4FD-1&_user=5745&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000001358&_version=1&_urlVersion=0&_userid=5745&md5=f2a68a23cd1ced41b9b3590293c417b2	Kitasatospora	Streptomyces	NA
S000469294	Acetobacter pasteurianus	SPECIES	Acetobacter peroxydans	Acetobacter pasteurianus	Acetobacter peroxydans	ambig/review		Acetobacter	Acetobacter	1
S000471091	Lactobacillus rossii	SPECIES	Lactobacillus rossiae	Lactobacillus rossii	Lactobacillus rossiae	spelling		Lactobacillus	Lactobacillus	1
S000471772	Jannaschia cystaugens	SPECIES	Thalassobacter stenotrophicus	Jannaschia cystaugens	Thalassobacter stenotrophicus	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/55/5/1959	Jannaschia	Thalassobacter	NA
S000472247	Photobacterium eurosenbergii	SPECIES	Photobacterium rosenbergii	Photobacterium eurosenbergii	Photobacterium rosenbergii	spelling		Photobacterium	Photobacterium	1
S000514212	Enterococcus caccae	SPECIES	Enterococcus silesiacus	Enterococcus caccae	Enterococcus silesiacus	ambig/review		Enterococcus	Enterococcus	1
S000536517	Clostridium alkalicellum	SPECIES	Clostridium alkalicellulosi	Clostridium alkalicellum	Clostridium alkalicellulosi	synonym	zhilina et al 2006, zhilina et al 2005	Clostridium	Clostridium	NA
S000540395	Pseudomonas stutzeri	SPECIES	Pseudomonas chloritidismutans	Pseudomonas stutzeri	Pseudomonas chloritidismutans	ambig/review	http://apps.isiknowledge.com.proxy.uchicago.edu/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=4&SID=3F7o3BklbecHm15FJaN&page=1&doc=1	Pseudomonas	Pseudomonas	1
S000540524	Eggerthella hongkongensis	SPECIES	Paraeggerthella hongkongensis	Eggerthella hongkongensis	Paraeggerthella hongkongensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/59/6/1405	Eggerthella	Paraeggerthella	NA
S000540599	Bacillus mojavensis	SPECIES	Bacillus malacitensis	Bacillus mojavensis	Bacillus malacitensis	synonym	http://ijs.sgmjournals.org/cgi/content/full/57/7/1663	Bacillus	Bacillus	NA
S000540600	Bacillus mojavensis	SPECIES	Bacillus axarquiensis	Bacillus mojavensis	Bacillus axarquiensis	synonym	http://ijs.sgmjournals.org/cgi/content/full/57/7/1663	Bacillus	Bacillus	NA
S000541626	Donghaeana dokdonensis	SPECIES	Persicivirga dokdonensis	Donghaeana dokdonensis	Persicivirga dokdonensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/59/4/824	Donghaeana	Persicivirga	NA
S000541807	marine firmicute	SPECIES	Oceanobacillus iheyensis	marine firmicute	Oceanobacillus iheyensis	SPECIFICITY		marine	Oceanobacillus	NA
S000543982	Neisseria sp.	SPECIES	Kingella potus	Neisseria sp.	Kingella potus	SPECIFICITY		Neisseria	Kingella	NA
S000544217	Streptomyces mashuensis	SPECIES	Streptomyces kishiwadensis	Streptomyces mashuensis	Streptomyces kishiwadensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/5/1519	Streptomyces	Streptomyces	NA
S000544225	Streptomyces lilacinus	SPECIES	Streptomyces kashimirensis	Streptomyces lilacinus	Streptomyces kashimirensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/5/1519	Streptomyces	Streptomyces	NA
S000544227	Streptomyces abikoensis	SPECIES	Streptomyces parvisporogenes	Streptomyces abikoensis	Streptomyces parvisporogenes	synonym	http://www.ncbi.nlm.nih.gov.proxy.uchicago.edu/sites/entrez?cmd=Search&db=pmc&term=0099-2240[jour]%20AND%201991[dp]%20AND%2057[volume]%20AND%205[issue]%20AND%201468[page]	Streptomyces	Streptomyces	NA
S000544255	Streptomyces spinoverrucosus	SPECIES	Streptomyces purpurascens	Streptomyces spinoverrucosus	Streptomyces purpurascens	ambig/review		Streptomyces	Streptomyces	1
S000544257	Streptomyces cinnamoneus	SPECIES	Streptomyces sapporonensis	Streptomyces cinnamoneus	Streptomyces sapporonensis	ambig/review		Streptomyces	Streptomyces	1
S000570539	Streptomyces olivoverticillatus	SPECIES	Streptomyces viridiflavus	Streptomyces olivoverticillatus	Streptomyces viridiflavus	synonym	http://www.ncbi.nlm.nih.gov.proxy.uchicago.edu/sites/entrez?cmd=Search&db=pmc&term=0099-2240[jour]%20AND%201991[dp]%20AND%2057[volume]%20AND%205[issue]%20AND%201468[page]	Streptomyces	Streptomyces	NA
S000571530	Exiguobacterium sp.	SPECIES	Exiguobacterium mexicanum	Exiguobacterium sp.	Exiguobacterium mexicanum	SPECIFICITY		Exiguobacterium	Exiguobacterium	1
S000576723	Dyella koreensis	SPECIES	Dyella soli	Dyella koreensis	Dyella soli	ambig/review		Dyella	Dyella	1
S000603879	Pseudoxanthomonas dokdonensis	SPECIES	Stenotrophomonas dokdonensis	Pseudoxanthomonas dokdonensis	Stenotrophomonas dokdonensis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/58/9/2235	Pseudoxanthomonas	Stenotrophomonas	NA
S000631791	Mycobacterium phocaicum	SPECIES	Mycobacterium mucogenicum	Mycobacterium phocaicum	Mycobacterium mucogenicum	ambig/review		Mycobacterium	Mycobacterium	1
S000701177	Sinorhizobium americanum	SPECIES	Sinorhizobium fredii	Sinorhizobium americanum	Sinorhizobium fredii	ambig/review		Sinorhizobium	Sinorhizobium	1
S000735276	Lactobacillus amylovorus	SPECIES	Lactobacillus sobrius	Lactobacillus amylovorus	Lactobacillus sobrius	synonym	http://ijs.sgmjournals.org.proxy.uchicago.edu/cgi/content/full/58/4/910	Lactobacillus	Lactobacillus	NA
S000979021	Ensifer kummerowiae	SPECIES	Sinorhizobium kummerowiae	Ensifer kummerowiae	Sinorhizobium kummerowiae	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/6/2107	Ensifer	Sinorhizobium	NA
